applicant_id,credit_score,monthly_income,monthly_rent,employment_type,employment_verified,income_verified,rental_history_years,previous_evictions,property_type,bedrooms,bathrooms,square_feet,property_age_years,city,furnished,pets_allowed,parking_spaces,lease_term_months,market_median_rent,local_unemployment_rate,inflation_rate,move_in_date,default_flag
14956,568,43113,31458,Self-employed,1,1,1,0,Condo,2,1,1110,0,Bangalore,0,0,0,6,26453,3.397956627927792,5.215225674734137,2028-10-13 12:00:00,0
14957,664,43792,9201,Full-time,1,0,1,0,Apartment,2,2,1038,11,Mumbai,0,1,0,12,31551,5.561759158110639,6.646411126893927,2028-10-14 00:00:00,0
14958,764,290843,13884,Self-employed,1,1,2,0,Studio,2,2,748,2,Delhi,0,0,0,24,27396,3.0249301611706563,4.450796511008958,2028-10-14 12:00:00,0
14959,675,58524,17511,Self-employed,0,1,1,0,Villa,2,1,512,1,Pune,0,1,0,12,21819,2.1669588960510766,4.891169421039301,2028-10-15 00:00:00,0
14960,720,24625,26270,Freelance,0,1,0,0,Villa,4,1,1060,15,Delhi,0,1,1,24,23464,2.344292138305814,8.353807518452124,2028-10-15 12:00:00,0
14961,654,165784,24798,Full-time,1,0,0,0,Condo,2,1,910,13,Pune,0,0,1,12,22183,2.9997368983408537,6.134112612551506,2028-10-16 00:00:00,1
14962,597,9856,31359,Full-time,1,1,1,0,Studio,2,1,657,0,Bangalore,0,0,1,12,18951,2.4237892654616884,5.100940753710385,2028-10-16 12:00:00,0
14963,670,24695,44106,Full-time,1,0,1,0,Studio,2,1,933,1,Pune,0,0,1,12,21382,6.128816290809489,5.540536880260636,2028-10-17 00:00:00,0
14964,704,23282,16543,Self-employed,1,1,3,0,Condo,2,1,713,37,Hyderabad,0,0,0,12,23638,5.530869797658866,5.455428913637492,2028-10-17 12:00:00,1
14965,627,36191,50657,Full-time,1,1,0,0,Condo,2,2,1342,2,Mumbai,1,0,0,12,25797,2.045447860542545,5.891759180741812,2028-10-18 00:00:00,1
14966,661,47904,16178,Part-time,1,1,6,0,Condo,1,2,649,9,Bangalore,0,0,1,12,26059,7.780668735173345,5.371125269136732,2028-10-18 12:00:00,0
14967,604,51458,19743,Freelance,1,1,1,0,Villa,2,1,596,3,Delhi,0,0,1,36,20929,4.6773530625288275,6.197796155101377,2028-10-19 00:00:00,0
14968,769,50703,23221,Freelance,1,1,1,0,Studio,1,1,1025,11,Pune,0,0,0,12,33780,5.429936249515431,6.094213214745676,2028-10-19 12:00:00,0
14969,656,60109,18776,Part-time,1,1,4,0,Condo,3,1,696,36,Delhi,1,0,1,12,23520,2.47736430877905,6.792779071172694,2028-10-20 00:00:00,0
14970,796,34607,30190,Part-time,0,0,0,0,Villa,2,1,872,6,Hyderabad,0,0,2,24,20399,1.0,4.189741385648496,2028-10-20 12:00:00,0
14971,802,101891,23066,Part-time,1,0,0,0,Condo,1,1,776,6,Delhi,0,0,0,12,32055,4.488089058341877,5.7512232540033255,2028-10-21 00:00:00,0
14972,673,10001,6384,Freelance,0,1,1,0,Studio,1,1,1290,11,Delhi,1,0,1,12,26839,6.286859292122569,6.037341624251558,2028-10-21 12:00:00,0
14973,599,5000,5592,Self-employed,1,1,0,0,Apartment,2,1,998,17,Hyderabad,0,0,1,12,39350,7.5925703139361715,8.189313078627283,2028-10-22 00:00:00,1
14974,513,65682,22686,Self-employed,1,1,3,0,Studio,1,1,801,0,Hyderabad,0,1,0,12,25012,1.0,5.802591019254028,2028-10-22 12:00:00,0
14975,562,27862,9809,Part-time,1,1,2,0,Villa,2,1,1090,15,Mumbai,0,1,0,12,17814,4.296512090960204,3.5993120232112625,2028-10-23 00:00:00,0
14976,570,143467,25046,Part-time,1,1,0,0,Villa,1,2,300,15,Mumbai,0,0,1,12,16264,3.950337183206413,3.7828397709440775,2028-10-23 12:00:00,0
14977,790,83626,5701,Part-time,1,1,0,0,Villa,2,1,1094,21,Delhi,0,0,0,12,28903,6.1937894068579,3.426793965880049,2028-10-24 00:00:00,0
14978,689,58165,16950,Self-employed,1,1,5,0,Apartment,2,1,923,2,Pune,0,0,0,24,13380,5.6738303834305315,5.539037257543663,2028-10-24 12:00:00,0
14979,711,24602,10842,Part-time,1,1,2,1,Studio,1,1,589,2,Delhi,0,0,1,24,27623,6.106458207421822,5.213032173231161,2028-10-25 00:00:00,1
14980,502,62359,25385,Part-time,1,1,3,0,Condo,2,2,1294,5,Mumbai,0,0,0,24,28753,1.9132144615859255,6.089661805003243,2028-10-25 12:00:00,0
14981,584,26446,7969,Full-time,1,1,0,0,Apartment,2,2,969,0,Delhi,0,0,1,24,25871,6.824472015591248,5.759333083050158,2028-10-26 00:00:00,0
14982,750,38090,26245,Freelance,0,1,1,0,Apartment,1,1,1384,9,Delhi,1,1,0,12,30815,2.77129697121433,4.388171664508421,2028-10-26 12:00:00,1
14983,702,27972,38025,Self-employed,1,1,6,0,Villa,4,1,407,2,Pune,0,0,0,12,20432,7.350879994940527,4.31660106516117,2028-10-27 00:00:00,1
14984,668,44681,24796,Part-time,1,1,1,0,Condo,2,1,713,10,Pune,1,0,0,12,26827,3.187725097025101,6.451191329203971,2028-10-27 12:00:00,0
14985,725,29711,22382,Self-employed,0,1,3,0,Studio,3,2,757,3,Hyderabad,0,0,2,6,19909,1.8857590020575383,6.249136936559089,2028-10-28 00:00:00,0
14986,810,80865,35234,Self-employed,1,1,2,0,Apartment,2,1,1057,5,Mumbai,0,0,1,6,20349,1.0,7.007125438883449,2028-10-28 12:00:00,0
14987,662,52164,32228,Part-time,1,0,3,0,Condo,1,2,613,0,Hyderabad,1,0,0,12,25032,6.04306417935051,5.704843233913533,2028-10-29 00:00:00,0
14988,685,24164,4900,Part-time,1,1,0,0,Studio,2,2,300,5,Mumbai,0,0,0,12,22435,4.262356362229132,6.818713686199393,2028-10-29 12:00:00,0
14989,695,25388,38340,Part-time,0,1,5,0,Apartment,1,1,743,15,Mumbai,1,1,1,12,27719,2.1230112918553194,4.319740245630584,2028-10-30 00:00:00,1
14990,850,13147,52821,Part-time,1,0,0,0,Villa,2,3,300,0,Bangalore,0,1,2,12,26396,2.6073534844769344,4.633451741397433,2028-10-30 12:00:00,0
14991,512,7617,27099,Part-time,1,0,2,0,Villa,3,2,1431,12,Mumbai,0,1,0,6,23767,8.171523297150085,6.324400421460738,2028-10-31 00:00:00,0
14992,734,76590,6870,Full-time,1,1,1,0,Apartment,2,1,745,10,Hyderabad,1,0,2,12,35918,3.0832279483690304,10.0,2028-10-31 12:00:00,0
14993,670,27311,7587,Self-employed,1,1,10,0,Villa,2,2,1045,10,Pune,0,0,0,12,23660,6.071379831907612,6.835314672067035,2028-11-01 00:00:00,0
14994,725,13713,3776,Self-employed,1,0,5,0,Condo,2,1,551,8,Bangalore,0,0,0,6,38448,2.508289787810889,6.4693643621588945,2028-11-01 12:00:00,0
14995,627,51821,37468,Freelance,1,1,5,0,Villa,2,2,728,1,Delhi,0,0,1,12,31434,1.864630177184603,3.866817761602136,2028-11-02 00:00:00,0
14996,676,20390,44745,Part-time,1,1,3,0,Villa,3,1,1164,17,Pune,0,1,2,6,25911,5.025624973725276,4.076209153026616,2028-11-02 12:00:00,0
14997,736,34356,24609,Part-time,1,1,2,0,Apartment,2,2,1002,8,Pune,0,0,2,12,31005,5.678538166804786,7.220112979712329,2028-11-03 00:00:00,0
14998,850,12916,31360,Freelance,1,0,3,0,Villa,1,1,912,3,Hyderabad,0,0,1,12,28308,5.819298797131856,6.8361055700842375,2028-11-03 12:00:00,1
14999,744,61038,14504,Full-time,1,0,1,1,Studio,1,2,620,0,Bangalore,1,0,1,12,25422,4.3535364700276915,5.618403248563715,2028-11-04 00:00:00,0
15000,612,38965,26118,Part-time,1,0,0,0,Studio,2,3,428,9,Bangalore,0,1,1,24,24484,4.973188590186802,6.634264757850015,2028-11-04 12:00:00,0
15001,646,54164,17582,Freelance,1,1,8,0,Villa,1,2,953,8,Pune,1,1,1,24,40511,7.928462152978425,4.615148380339542,2028-11-05 00:00:00,0
15002,643,25793,21669,Part-time,1,1,0,0,Villa,1,1,612,0,Pune,0,0,2,12,20138,3.3032202149097265,3.4711027715009406,2028-11-05 12:00:00,1
15003,536,44254,21203,Full-time,0,1,3,0,Studio,1,2,464,4,Delhi,0,1,0,12,20842,6.678481580342433,5.827533346753108,2028-11-06 00:00:00,0
15004,653,11335,28952,Part-time,1,0,0,0,Condo,1,1,1014,4,Mumbai,0,0,2,24,32907,3.464516749331886,5.228059664056734,2028-11-06 12:00:00,0
15005,738,224046,9543,Part-time,1,1,5,0,Condo,2,1,405,19,Pune,0,0,2,12,26066,4.488851163367605,5.943669155877377,2028-11-07 00:00:00,0
15006,578,50604,7620,Freelance,1,1,6,0,Studio,3,2,995,2,Mumbai,0,0,1,12,30435,4.84409788568914,6.877295014158871,2028-11-07 12:00:00,0
15007,763,142342,49335,Self-employed,1,1,0,0,Apartment,2,1,748,0,Delhi,0,0,2,6,21500,7.058858881307717,2.942279546043937,2028-11-08 00:00:00,0
15008,719,29352,38159,Freelance,1,1,1,2,Condo,3,2,1015,11,Delhi,1,0,1,24,25110,4.252311067524089,3.5081617122877127,2028-11-08 12:00:00,0
15009,621,15679,28209,Full-time,1,1,6,0,Condo,1,2,955,0,Mumbai,0,0,1,6,24550,4.47599107945022,4.409923460484087,2028-11-09 00:00:00,1
15010,668,24508,18969,Full-time,1,1,1,0,Apartment,1,2,850,3,Hyderabad,0,0,1,12,28036,2.318399855736066,4.105739512959634,2028-11-09 12:00:00,0
15011,807,35064,8933,Freelance,1,1,3,0,Villa,1,2,441,4,Bangalore,0,0,0,12,24544,5.809179441340506,4.974126952520747,2028-11-10 00:00:00,0
15012,738,33081,24908,Part-time,1,1,0,0,Studio,3,2,1088,5,Pune,0,0,1,24,23843,7.917320750018616,5.6549972696608695,2028-11-10 12:00:00,1
15013,680,161014,9522,Full-time,0,0,0,0,Villa,4,3,1262,5,Mumbai,0,1,0,12,35910,5.015484118257843,5.075367106608944,2028-11-11 00:00:00,0
15014,660,18313,37211,Part-time,0,0,3,0,Studio,2,1,767,6,Bangalore,0,0,1,12,25858,4.04176240142356,7.355953242689877,2028-11-11 12:00:00,0
15015,686,22385,7480,Freelance,1,1,2,0,Condo,2,2,988,2,Delhi,1,1,0,12,31494,1.047559600205858,6.999284555693915,2028-11-12 00:00:00,0
15016,639,64241,18038,Part-time,1,0,5,0,Apartment,3,2,964,0,Pune,0,0,1,24,31827,3.6420509503299177,5.133661469484236,2028-11-12 12:00:00,0
15017,511,10205,28356,Freelance,1,1,2,0,Apartment,2,1,1055,7,Delhi,1,0,2,6,31220,4.527909484320094,3.8283666658224424,2028-11-13 00:00:00,0
15018,843,35157,24150,Full-time,1,1,3,0,Villa,2,1,788,34,Hyderabad,0,0,1,12,16105,1.0,4.892068412759098,2028-11-13 12:00:00,0
15019,692,40675,35337,Full-time,1,0,3,0,Apartment,2,2,1135,23,Hyderabad,1,1,0,24,11059,2.7166409970393093,4.567703206363249,2028-11-14 00:00:00,0
15020,711,51363,9387,Freelance,1,0,0,0,Apartment,1,2,1358,15,Mumbai,0,0,0,12,38840,6.058956407558247,6.438408824929843,2028-11-14 12:00:00,0
15021,675,48006,27493,Full-time,1,1,0,0,Villa,1,1,763,5,Pune,0,1,1,12,21902,1.509165954431647,5.752356348895761,2028-11-15 00:00:00,0
15022,621,178115,14421,Freelance,1,1,3,0,Condo,2,2,702,4,Hyderabad,0,0,0,12,24634,4.4399916569063045,4.820962282626934,2028-11-15 12:00:00,0
15023,665,17893,19969,Part-time,1,1,0,0,Villa,2,2,872,19,Mumbai,1,0,1,12,26024,3.7054277806828892,4.51620111819362,2028-11-16 00:00:00,1
15024,552,21688,4879,Full-time,1,1,1,0,Condo,4,1,679,5,Bangalore,0,0,2,6,18599,7.383506527157168,5.276263996595468,2028-11-16 12:00:00,0
15025,850,59133,37737,Freelance,1,1,2,0,Studio,2,1,300,17,Mumbai,1,0,0,12,23751,2.5912941413223107,6.504251543320005,2028-11-17 00:00:00,0
15026,581,43525,8955,Full-time,1,0,0,0,Studio,1,1,874,5,Mumbai,0,0,0,12,24722,3.9690537701972994,6.9781542149771845,2028-11-17 12:00:00,0
15027,597,48097,22509,Full-time,1,1,3,0,Apartment,1,1,698,2,Pune,0,0,1,12,20567,6.535513626795428,4.174132149868468,2028-11-18 00:00:00,0
15028,644,11800,46380,Self-employed,1,1,1,0,Apartment,1,1,953,22,Bangalore,0,1,2,12,32906,3.6622858858368588,2.482837990645944,2028-11-18 12:00:00,1
15029,783,207910,84698,Self-employed,1,1,4,0,Villa,1,1,569,6,Mumbai,0,1,2,12,22820,3.713367026035553,7.316742720322342,2028-11-19 00:00:00,0
15030,681,52115,30964,Full-time,0,0,2,0,Villa,1,2,537,4,Bangalore,0,0,0,12,28388,4.218621921936222,2.0327111916074507,2028-11-19 12:00:00,0
15031,581,10242,26691,Full-time,1,1,6,1,Villa,2,1,796,3,Hyderabad,1,0,2,12,37235,3.3178028201424055,4.938013133875078,2028-11-20 00:00:00,0
15032,780,59221,33080,Freelance,1,1,7,0,Villa,1,1,469,21,Bangalore,0,0,1,12,24169,5.42324813256665,4.857706937874058,2028-11-20 12:00:00,0
15033,738,15022,12811,Self-employed,1,1,2,0,Studio,3,1,689,0,Bangalore,1,0,1,12,29076,5.503291611054507,4.935693440646432,2028-11-21 00:00:00,0
15034,723,76366,18082,Part-time,1,1,0,0,Apartment,3,3,927,6,Bangalore,1,0,0,12,27967,1.3063452761607444,5.491740115591857,2028-11-21 12:00:00,0
15035,737,12676,32987,Full-time,1,1,0,0,Villa,2,2,1133,9,Pune,1,0,0,6,21427,4.275619441596718,6.463091746593343,2028-11-22 00:00:00,0
15036,850,81213,15540,Full-time,1,0,4,0,Condo,1,1,1412,0,Pune,0,1,1,12,26209,5.993202085465134,7.274621917751684,2028-11-22 12:00:00,0
15037,850,13675,4832,Self-employed,1,1,4,0,Condo,4,2,869,0,Delhi,0,1,0,24,26030,2.448840619628947,4.202734150551164,2028-11-23 00:00:00,0
15038,625,16656,42935,Part-time,1,1,0,0,Villa,2,1,670,0,Bangalore,0,0,2,12,23853,6.707829273375754,6.747593591008921,2028-11-23 12:00:00,0
15039,809,40543,29666,Self-employed,1,1,1,0,Studio,2,1,614,7,Hyderabad,1,1,0,12,22234,5.401527544000643,2.5884546189192683,2028-11-24 00:00:00,0
15040,710,22262,8035,Full-time,1,1,5,0,Apartment,2,1,1089,4,Bangalore,0,0,1,36,23165,4.0723725947962945,6.444981363823285,2028-11-24 12:00:00,0
15041,719,23305,7966,Part-time,1,1,2,0,Villa,1,1,1016,3,Hyderabad,0,0,2,36,25145,3.4511544126404696,6.490498136888418,2028-11-25 00:00:00,0
15042,544,10680,22650,Part-time,1,1,3,0,Villa,1,2,1066,0,Bangalore,0,0,1,12,16500,8.021159422764566,6.752541779368612,2028-11-25 12:00:00,0
15043,666,27894,150000,Freelance,1,0,0,0,Villa,2,1,919,25,Hyderabad,1,0,0,12,19994,5.900569693166242,5.670966829216961,2028-11-26 00:00:00,1
15044,614,73649,18799,Part-time,1,1,1,0,Villa,2,2,320,4,Hyderabad,0,0,0,24,18164,5.812792528612591,5.533541589478586,2028-11-26 12:00:00,0
15045,746,163194,12117,Self-employed,1,1,0,0,Condo,1,3,1150,2,Delhi,0,0,0,12,24066,6.159774830374787,2.4284317786103644,2028-11-27 00:00:00,0
15046,765,70406,5085,Freelance,1,0,0,0,Apartment,3,2,1036,5,Delhi,0,0,2,12,24920,5.25175137892542,6.194914856676885,2028-11-27 12:00:00,0
15047,514,62807,23186,Self-employed,1,1,5,0,Condo,1,1,728,1,Bangalore,0,0,1,12,32029,3.358299509973154,6.867861469124035,2028-11-28 00:00:00,0
15048,678,9406,28941,Part-time,1,1,5,0,Condo,2,1,1184,5,Delhi,1,0,1,12,28630,3.493262120098881,6.222775323474564,2028-11-28 12:00:00,0
15049,769,35489,14129,Part-time,1,1,0,0,Condo,1,3,831,4,Hyderabad,0,1,1,24,23644,9.059784711493714,6.359917410371926,2028-11-29 00:00:00,0
15050,665,21562,16088,Full-time,1,1,2,0,Condo,1,2,333,8,Mumbai,0,0,1,12,38036,4.809499329428906,6.375139384353046,2028-11-29 12:00:00,0
15051,738,10844,14618,Freelance,1,1,1,0,Condo,2,2,856,3,Mumbai,0,0,0,24,28989,3.51135567123763,3.114291631822402,2028-11-30 00:00:00,0
15052,708,13125,8952,Part-time,1,1,0,0,Villa,2,1,1003,3,Pune,0,0,0,24,23703,7.086939648156012,5.783777873973943,2028-11-30 12:00:00,1
15053,707,61968,9167,Full-time,1,1,1,0,Studio,4,1,840,3,Delhi,1,0,1,24,23432,5.295466035165828,4.782145208711588,2028-12-01 00:00:00,0
15054,658,23251,3000,Part-time,1,1,6,0,Condo,2,2,1179,1,Hyderabad,1,0,0,12,24411,3.360691041354891,6.510741594830908,2028-12-01 12:00:00,0
15055,582,11158,8481,Full-time,1,0,0,0,Condo,1,2,771,29,Delhi,0,0,1,12,16432,3.196716016599833,3.5346006854098553,2028-12-02 00:00:00,1
15056,590,21828,23753,Self-employed,1,0,0,0,Studio,1,2,628,1,Delhi,0,0,2,12,28302,5.886375047180395,6.673576268078557,2028-12-02 12:00:00,0
15057,736,45778,9315,Full-time,1,1,3,0,Condo,1,1,942,6,Delhi,1,1,1,12,31902,6.177714627509976,3.481626159323609,2028-12-03 00:00:00,0
15058,681,21175,24204,Part-time,1,1,4,0,Apartment,1,1,801,14,Delhi,0,0,2,24,35463,1.2234445268315959,4.528243170486869,2028-12-03 12:00:00,0
15059,668,13793,5422,Part-time,1,0,0,0,Apartment,2,1,1245,6,Pune,0,0,1,12,22719,6.180455193605927,5.1592556870657305,2028-12-04 00:00:00,0
15060,646,17393,23412,Full-time,1,1,2,0,Apartment,1,1,905,2,Delhi,0,1,1,6,30801,5.851924478605226,5.938403595328616,2028-12-04 12:00:00,0
15061,655,73686,11739,Freelance,1,1,2,0,Studio,1,1,864,2,Bangalore,0,0,0,24,21760,3.101274312695586,7.181793550915567,2028-12-05 00:00:00,0
15062,763,6889,11393,Part-time,1,1,0,0,Studio,2,2,594,6,Hyderabad,1,0,0,12,32658,3.953068232315486,6.004999454359614,2028-12-05 12:00:00,0
15063,653,29306,45049,Self-employed,0,1,0,0,Studio,1,1,1153,5,Delhi,0,0,2,6,26549,2.421550919817278,3.988207919692932,2028-12-06 00:00:00,0
15064,572,33119,3502,Self-employed,1,0,2,1,Studio,2,1,771,6,Bangalore,0,1,0,12,21783,4.327911252106643,4.240320136032543,2028-12-06 12:00:00,0
15065,739,19836,26545,Full-time,1,1,2,0,Apartment,2,1,795,7,Hyderabad,1,0,2,24,29144,5.9236415832687035,4.178639458411801,2028-12-07 00:00:00,0
15066,663,16873,31346,Freelance,1,1,2,0,Villa,1,2,341,1,Delhi,0,0,1,12,26529,5.334452269227696,2.658861926616783,2028-12-07 12:00:00,0
15067,682,79757,14409,Full-time,1,1,6,0,Apartment,1,1,1187,7,Pune,0,1,1,12,16105,6.9902259070996156,8.933196142978172,2028-12-08 00:00:00,0
15068,808,79539,6697,Self-employed,0,0,5,0,Villa,1,1,1429,3,Mumbai,1,1,0,6,27680,6.942866212769276,4.936098571508064,2028-12-08 12:00:00,0
15069,678,39507,18927,Freelance,0,1,0,0,Villa,4,1,617,1,Bangalore,1,0,1,12,21688,7.39055132768002,6.328361392571514,2028-12-09 00:00:00,0
15070,703,23512,13052,Part-time,1,1,0,0,Apartment,2,1,490,4,Hyderabad,0,1,0,24,20707,5.162626026900905,5.1474750471453365,2028-12-09 12:00:00,1
15071,585,39739,37187,Freelance,1,1,0,0,Condo,2,1,690,1,Mumbai,1,0,1,6,32953,1.0,2.909526875171069,2028-12-10 00:00:00,0
15072,662,50186,33147,Part-time,0,0,0,0,Villa,4,1,598,19,Delhi,0,0,1,36,31125,5.093500737856456,7.251898592861956,2028-12-10 12:00:00,0
15073,728,33206,18033,Self-employed,1,0,7,0,Apartment,4,2,432,6,Delhi,0,0,1,6,25150,3.2926425482388533,8.954683769278557,2028-12-11 00:00:00,0
15074,555,51281,8534,Full-time,1,1,4,0,Villa,3,3,1364,2,Pune,0,1,1,12,26593,2.073824107473257,6.319831704927079,2028-12-11 12:00:00,0
15075,696,27367,16572,Part-time,1,1,2,0,Villa,2,1,1004,8,Pune,1,0,0,12,23749,1.0,5.994188475064929,2028-12-12 00:00:00,0
15076,688,5000,19986,Full-time,1,0,0,0,Apartment,2,1,655,22,Delhi,1,0,2,12,32758,2.1973316861894014,5.29162949499558,2028-12-12 12:00:00,1
15077,683,31109,16404,Full-time,1,1,1,0,Villa,2,1,799,0,Delhi,1,0,1,12,23989,3.3172774613989766,4.317434131251963,2028-12-13 00:00:00,0
15078,762,62814,15237,Full-time,0,0,0,0,Studio,2,2,877,13,Hyderabad,0,0,1,12,18699,7.704184971909872,6.941787239609288,2028-12-13 12:00:00,0
15079,706,37217,11784,Freelance,1,1,0,0,Condo,2,2,1008,7,Delhi,0,0,2,12,27661,6.319031505728065,6.9943387151118035,2028-12-14 00:00:00,1
15080,798,47807,7434,Part-time,1,1,0,0,Apartment,1,1,778,11,Hyderabad,1,0,1,12,20813,4.71851735159625,5.723840293244276,2028-12-14 12:00:00,0
15081,600,29229,15283,Freelance,1,0,1,0,Condo,1,1,515,13,Delhi,0,0,0,12,33509,5.019033727203688,6.875968683023347,2028-12-15 00:00:00,0
15082,690,31120,19823,Freelance,0,1,3,0,Villa,1,1,861,0,Bangalore,0,0,0,12,28228,4.4698605986162825,8.962599363856318,2028-12-15 12:00:00,0
15083,686,41633,19037,Part-time,1,1,0,0,Villa,4,1,300,3,Bangalore,0,0,1,12,23074,1.8440342829231455,6.007195769799724,2028-12-16 00:00:00,1
15084,594,171930,17482,Part-time,1,1,0,0,Villa,1,1,731,30,Mumbai,0,0,1,12,23797,4.649339521592107,7.731581764323209,2028-12-16 12:00:00,0
15085,756,71241,4743,Part-time,1,1,0,0,Studio,3,2,898,24,Mumbai,0,0,0,12,31414,5.298234307446445,3.7861037409843985,2028-12-17 00:00:00,0
15086,850,64085,10344,Freelance,1,1,2,0,Condo,3,2,300,3,Pune,0,0,0,12,23422,4.08819360911266,4.720236711751225,2028-12-17 12:00:00,0
15087,678,42780,41564,Freelance,0,1,3,0,Studio,1,3,837,1,Hyderabad,1,0,1,12,25702,6.491436285841948,8.248526522663845,2028-12-18 00:00:00,0
15088,720,12514,29443,Freelance,0,0,1,0,Condo,1,1,1049,3,Pune,0,1,0,12,20012,6.025708779430144,7.757585934138682,2028-12-18 12:00:00,0
15089,686,96810,16115,Full-time,1,1,8,0,Condo,1,1,1012,5,Bangalore,0,1,1,24,25551,4.672343385182079,7.00555051754164,2028-12-19 00:00:00,0
15090,622,75042,18940,Full-time,1,1,5,0,Condo,3,1,821,0,Mumbai,0,0,0,6,25242,2.6100873458831573,7.364760357769287,2028-12-19 12:00:00,0
15091,534,48666,8253,Freelance,1,0,1,0,Apartment,2,2,683,4,Pune,0,0,1,12,22905,3.8176329933538566,5.661934853010864,2028-12-20 00:00:00,0
15092,623,35063,8513,Self-employed,1,1,0,0,Condo,1,1,530,4,Hyderabad,0,0,0,12,21745,4.922347394602917,3.609157341298971,2028-12-20 12:00:00,0
15093,568,56203,11088,Full-time,1,1,4,0,Villa,1,1,711,2,Mumbai,1,0,1,12,22472,4.1796798593339215,7.310360910556769,2028-12-21 00:00:00,0
15094,816,30185,14461,Part-time,1,1,3,0,Condo,2,2,601,4,Bangalore,1,1,1,12,28254,6.636946103991847,6.525458461422306,2028-12-21 12:00:00,0
15095,670,65013,12369,Freelance,0,0,5,0,Condo,1,1,963,21,Delhi,1,0,1,36,19851,2.674637879453927,6.8919420944426975,2028-12-22 00:00:00,0
15096,652,18576,19844,Part-time,1,1,6,0,Condo,2,2,553,2,Delhi,0,0,0,12,18007,3.916072765201582,6.430270874368171,2028-12-22 12:00:00,0
15097,751,7879,18702,Freelance,1,1,0,0,Condo,1,1,723,0,Hyderabad,1,1,0,12,22191,2.4014824834346027,5.065041203420411,2028-12-23 00:00:00,0
15098,590,13891,20886,Freelance,1,1,0,0,Apartment,2,2,1067,25,Delhi,0,0,1,24,15180,4.813425440075958,6.077243111098765,2028-12-23 12:00:00,0
15099,618,40652,4675,Freelance,1,1,1,0,Studio,1,1,799,4,Hyderabad,0,0,1,12,28620,4.658231009319968,4.657455416303843,2028-12-24 00:00:00,0
15100,685,28527,108336,Self-employed,1,1,2,0,Condo,1,1,1027,1,Mumbai,0,0,1,12,27692,3.9742644741670095,8.716399427553785,2028-12-24 12:00:00,0
15101,762,32267,22106,Part-time,1,1,1,0,Apartment,2,1,1005,4,Delhi,1,1,1,12,28942,4.712395937192432,6.467897174485667,2028-12-25 00:00:00,0
15102,720,12876,14011,Self-employed,1,1,0,1,Apartment,1,1,458,6,Hyderabad,0,0,0,12,25230,3.2020167122910292,5.59828178668632,2028-12-25 12:00:00,0
15103,699,46237,13600,Part-time,1,1,1,0,Condo,1,1,1038,4,Mumbai,0,0,1,12,29041,7.991886826500611,3.8968705417091405,2028-12-26 00:00:00,0
15104,686,15846,17987,Self-employed,1,1,4,0,Condo,1,1,1004,0,Pune,0,0,0,6,20823,3.0389821799410193,2.2331893071274935,2028-12-26 12:00:00,0
15105,712,54028,12951,Freelance,0,1,0,0,Studio,2,1,728,3,Delhi,1,0,1,12,18504,4.167260525493792,7.084227430474041,2028-12-27 00:00:00,0
15106,696,11709,10528,Self-employed,0,1,0,0,Villa,2,1,300,18,Mumbai,0,0,1,12,12384,6.013686879174885,5.036920421660996,2028-12-27 12:00:00,1
15107,597,18564,17015,Freelance,1,1,0,0,Studio,1,2,1036,9,Pune,1,0,0,12,27675,2.9715706060721843,5.923437301781285,2028-12-28 00:00:00,1
15108,683,16671,32722,Full-time,1,1,0,0,Studio,2,1,1038,3,Mumbai,1,1,1,12,32071,3.359703737467809,5.941420825491978,2028-12-28 12:00:00,0
15109,594,57471,16903,Part-time,1,1,3,0,Condo,1,1,881,1,Hyderabad,0,0,2,12,27270,3.0861971959780616,6.951102426293563,2028-12-29 00:00:00,0
15110,686,25096,20468,Freelance,1,1,2,0,Villa,2,1,388,2,Hyderabad,1,0,2,6,27292,4.076277036393539,4.800142277656005,2028-12-29 12:00:00,0
15111,641,51008,35918,Self-employed,1,1,1,0,Condo,2,2,1035,0,Pune,0,1,1,12,28432,5.820818458419582,5.7176153767779025,2028-12-30 00:00:00,0
15112,850,90430,31840,Full-time,0,1,0,0,Studio,3,2,634,21,Bangalore,1,1,1,24,27482,4.341829400223817,5.338525852825861,2028-12-30 12:00:00,0
15113,676,150845,59093,Freelance,1,1,7,0,Villa,2,2,452,4,Delhi,0,0,1,6,21991,3.482246195416341,3.7900564789839315,2028-12-31 00:00:00,0
15114,567,43692,6216,Full-time,1,1,3,0,Apartment,2,1,473,11,Delhi,0,1,2,12,27211,5.248757628618151,3.8819977507428023,2028-12-31 12:00:00,0
15115,669,15039,9486,Full-time,1,1,0,0,Condo,4,2,710,7,Bangalore,1,0,2,12,22844,4.165889194070291,6.752596768364784,2029-01-01 00:00:00,0
15116,721,98812,9869,Full-time,1,1,1,0,Apartment,4,1,669,12,Bangalore,1,0,1,12,22657,6.56102757627853,7.625948535950259,2029-01-01 12:00:00,0
15117,813,121672,5290,Self-employed,1,1,0,0,Villa,1,2,798,7,Bangalore,0,1,1,6,30857,4.352330063146663,8.166166050824593,2029-01-02 00:00:00,0
15118,632,34617,10456,Self-employed,0,0,0,0,Apartment,1,3,640,13,Bangalore,0,0,1,6,30695,5.7096956594139066,5.504572061109603,2029-01-02 12:00:00,0
